IMG_ID,AUTHOR,LAT,LON,CITY,COUNTRY
104123223_7410c654ba_19_19355699@N00.jpg,19355699@N00,-16.663606,145.563537,Wangetti,Australia
1095548455_f636d22cbb_1277_8576809@N08.jpg,8576809@N08,31.893581,-85.141124,Eufaula,United States
1185597181_0158ab4213_1311_43616936@N00.jpg,43616936@N00,42.346571,-71.097228,Boston,United States
1199004207_0ce4e7a456_1285_16418049@N00.jpg,16418049@N00,37.090924,25.370521,Naxos,Greece
1257001714_3453f5fc4b_1405_11490799@N08.jpg,11490799@N08,55.485759,28.791046,Polatsk,Belarus
195179890_dfc29db44a_70_73935513@N00.jpg,73935513@N00,-25.499066,-54.621276,Ciudad del Este,Paraguay
212568980_fb3a00288d_71_21844368@N00.jpg,21844368@N00,12.974449,77.562789,Bangalore,India
222911552_50f2a18fde_66_56186870@N00.jpg,56186870@N00,60.773746,-148.812046,Whittier,United States
243683202_38f0178ce4_88_11807142@N00.jpg,11807142@N00,37.970117,23.720426,Athens,Greece
247766999_1de867ab93_96_94409333@N00.jpg,94409333@N00,36.403107,-93.736736,Eureka Springs,United States
251058170_ba714bfb50_87_67484939@N00.jpg,67484939@N00,34.841334,-92.486429,Little Rock,United States
254755691_b3bbae344e_95_79267922@N00.jpg,79267922@N00,39.94133,116.383666,Beijing,China
254762082_1a1b6d27d1_121_79267922@N00.jpg,79267922@N00,39.94133,116.383666,Beijing,China
257034510_2b7d64e610_118_26519935@N00.jpg,26519935@N00,13.74989,100.494861,Bangkok,Thailand
257176697_a302df7bec_86_41336221@N00.jpg,41336221@N00,40.366689,49.835443,Baku ,Azerbaijan
263896481_2f807d19ee_80_74806935@N00.jpg,74806935@N00,37.318012,-121.950309,San Jose,United States
264192767_4809b75a21_117_35468147630@N01.jpg,35468147630@N01,42.36246,-71.084353,Cambridge,United States
314328828_2b52ae145e_120_55852171@N00.jpg,55852171@N00,39.996996,116.267988,Beijing,China
315923188_366ee7e6cd_101_14491548@N00.jpg,14491548@N00,51.054991,3.732089,Ghent,Belgium
317019036_3b57b5b2e9_104_56249023@N00.jpg,56249023@N00,-47.031934,-67.259674,Fitz Roy ,Argentina
317024157_467511cd94_107_56249023@N00.jpg,56249023@N00,-50.358604,-72.285575,El Calafate,Argentina
317369069_16c7477d63_134_78221228@N00.jpg,78221228@N00,-50.462312,-73.005523,El Calafate,Argentina
336999316_7fda2b00b1_142_65367662@N00.jpg,65367662@N00,39.44017,-120.23025,Truckee,United States
338553788_a32e785773_163_21535758@N00.jpg,21535758@N00,34.987253,68.466796,Kabul,Afghanistan
338603422_520f0ce2ff_138_21535758@N00.jpg,21535758@N00,36.884014,68.57666,Yanghareq,Afghanistan
339483173_e48ee06639_139_63163416@N00.jpg,63163416@N00,31.213021,29.946069,Alexandria,Egypt
340942713_d485388d6d_152_21341800@N00.jpg,21341800@N00,36.765291,68.812866,Kunduz,Afghanistan
348532716_5a2b306c86_136_98767940@N00.jpg,98767940@N00,17.129307,-89.065818,Cristo Rey,Belize
363322243_42e6b4babe_100_26234358@N00.jpg,26234358@N00,52.525047,13.366949,Berlin,Germany
379263811_e4d22a1ba5_136_59615371@N00.jpg,59615371@N00,34.051166,-84.285993,Alpharetta,United States
391838246_31758bc752_139_94949650@N00.jpg,94949650@N00,49.341342,-123.01546,Vancouver,Canada
392982444_442d787db5_143_65412829@N00.jpg,65412829@N00,39.935276,32.852725,Ankara,Turkey
421350511_ee899b609d_129_85417391@N00.jpg,85417391@N00,32.242796,-111.167714,Tucson,United States
425432303_c817c468e3_166_14882112@N00.jpg,14882112@N00,41.371961,2.166323,Barcelona,Spain
427188519_bcf177e48b_146_84752760@N00.jpg,84752760@N00,41.401149,2.163276,Barcelona,Spain
429777514_e0ba93984e_169_89418754@N00.jpg,89418754@N00,41.403491,2.174423,Barcelona,Spain
429881745_35a951f032_187_37718182@N00.jpg,37718182@N00,41.387627,2.188044,Barcelona,Spain
432236572_f2da926f89_166_75452460@N00.jpg,75452460@N00,47.298266,13.686389,Schladming,Austria
436360592_ef20eb1e98_178_99746029@N00.jpg,99746029@N00,39.937908,116.398086,Beijing,China
437613430_d1466ffcdb_178_71613077@N00.jpg,71613077@N00,39.988497,116.184368,Beijing,China
453214262_2252fbefff_212_55126705@N00.jpg,55126705@N00,35.521425,-111.372699,Black Falls Crossing,United States
453384102_723b8a8182_207_55126705@N00.jpg,55126705@N00,34.611453,-111.841936,Camp Verde,United States
466882217_a9c6760cc4_220_64825499@N00.jpg,64825499@N00,12.607003,-70.055952,Noord,Aruba
482314949_dbc149bb10_224_50435419@N00.jpg,50435419@N00,-34.609758,-58.411216,Buenos Aires,Argentina
502172768_3a7a22811b_213_69641014@N00.jpg,69641014@N00,42.34351,-71.033585,Boston,United States
504921450_6f20499550_194_24311489@N00.jpg,24311489@N00,33.747894,-84.371148,Atlanta,United States
508033358_5d1f3bc07a_221_8393530@N05.jpg,8393530@N05,25.073471,-77.327785,Nassau,Bahamas
510183020_3dec046e80_192_77392231@N00.jpg,77392231@N00,13.724085,100.392208,Bangkok,Thailand
522546192_0030ad0eb1_237_61819159@N00.jpg,61819159@N00,-14.666716,145.448513,Lizard Island,Australia
530405817_0673660c96_1209_7885919@N07.jpg,7885919@N07,-34.603691,-58.381637,Buenos Aires,Argentina
534657711_dc2aa849a8_1333_72154266@N00.jpg,72154266@N00,-22.995414,-43.238539,Rio de Janeiro,Brazil
580496518_4214d97599_1280_7369430@N02.jpg,7369430@N02,30.245165,-87.733662,Gulf Shores,United States
779600060_a5f8e28de5_1184_52057668@N00.jpg,52057668@N00,-34.940336,138.585577,Adelaide,Australia
780091415_c803d82672_1332_88971695@N00.jpg,88971695@N00,-25.354342,131.046295,Mutitjulu,Australia
864479182_d60c47e2ce_1045_25304693@N00.jpg,25304693@N00,50.997714,5.40199,Zonhoven,Belgium
872841181_2ef32acf29_1371_66281185@N00.jpg,66281185@N00,36.057694,-112.136614,Grand Canyon Village,United States
952602201_87da454e31_1323_19953481@N00.jpg,19953481@N00,46.702202,12.991333,Laas,Austria
970273104_48060e4acd_1207_10815666@N04.jpg,10815666@N04,-34.602578,-58.383686,Buenos Aires,Argentina
97344248_30a4521091_32_77325609@N00.jpg,77325609@N00,41.395354,2.169113,Barcelona,Spain
980263629_f3373fa294_1253_9729483@N02.jpg,9729483@N02,52.504914,13.36284,Berlin,Germany
Ankara_00003_601190107_9f05b2251e_1292_8504005@N07.jpg,9f05b2251e_1292_8504005@N07,39.936592,32.8553,Ankara,Turkey
Antigua_00003_483035669_21c8bdeb2d_185_61417564@N00.jpg,21c8bdeb2d_185_61417564@N00,16.998628,-61.755861,English Harbour,Antigua and Barbuda
Arizona_00044_527647931_821085049a_1048_7412395@N07.jpg,821085049a_1048_7412395@N07,36.065673,-112.11713,Grand Canyon Village,United States
Aruba_00001_99110142_a573655582_34_50517642@N00.jpg,a573655582_34_50517642@N00,12.532151,-70.051435,Oranjestad,Aruba
Athens_00016_516320955_2f7c0642b4_212_36764971@N00.jpg,2f7c0642b4_212_36764971@N00,37.971102,23.726767,Athens,Greece
Azerbaijan_00003_1293945458_c58bd8d7c4_1048_97522422@N00.jpg,c58bd8d7c4_1048_97522422@N00,40.094882,49.387664,Qobustan,Azerbaijan
Bahamas_00006_343059190_9c31e29446_134_39595541@N00.jpg,9c31e29446_134_39595541@N00,25.114046,-77.126255,Nassau,Bahamas
Bangkok_00011_215914338_705d7ea038_92_20194767@N00.jpg,705d7ea038_92_20194767@N00,9.376241,99.94091,Bangkok,Thailand
Bangkok_00012_219604934_4e3ca563fc_83_82927779@N00.jpg,4e3ca563fc_83_82927779@N00,13.740614,100.489861,Bangkok,Thailand
Barcelona_00014_144658910_7517982a97_46_49503208420@N01.jpg,7517982a97_46_49503208420@N01,41.385245,2.169284,Barcelona,Spain
Belgium_00017_276044730_dceb8cccbc_112_12814307@N00.jpg,dceb8cccbc_112_12814307@N00,50.657949,5.474624,Liege,Belgium
Bolivia_00014_1347017613_651a38b69d_1376_11786349@N08.jpg,651a38b69d_1376_11786349@N08,-20.457333,-66.913604,Uyuni,Bolivia
Bosnia_00004_1138531814_e3579a53d8_1067_11515930@N06.jpg,e3579a53d8_1067_11515930@N06,43.065376,17.71202,Visici,Bosnia and Herzegovina
Botswana_00001_108331635_4dccd99e9d_52_73091266@N00.jpg,4dccd99e9d_52_73091266@N00,-19.116137,23.827285,Khwai,Botswana
California_00119_356125022_0a5c48aa89_139_64855637@N00.jpg,0a5c48aa89_139_64855637@N00,36.618184,-121.901893,Moneterey,United States
California_00122_361328855_6ace238cbf_134_41894169878@N01.jpg,6ace238cbf_134_41894169878@N01,33.441321,-118.492891,Two Harbours,United States
California_00147_439592027_f8ffa59be8_188_66347119@N00.jpg,f8ffa59be8_188_66347119@N00,33.89441,-115.829662,Palm Springs,United States
California_00197_718693402_4ba930995d_1150_7980350@N08.jpg,4ba930995d_1150_7980350@N08,37.752614,-119.526979,Yosemite Valley,United States
Cambodia_00020_401343054_b6c0b85d50_133_33463080@N00.jpg,b6c0b85d50_133_33463080@N00,13.372585,103.856849,Krong Siem Reap,Cambodia
Canada_00106_513453328_03108e034b_227_7665941@N08.jpg,03108e034b_227_7665941@N08,49.291349,-123.127512,Vancouver,Canada
Canada_00113_568886932_37f47747b8_1250_48264126@N00.jpg,37f47747b8_1250_48264126@N00,52.202557,-117.239742,Jasper,Canada
Chicago_00046_286428804_4fd17dde48_106_51306116@N00.jpg,4fd17dde48_106_51306116@N00,41.885921,-87.622833,Chicago,United States
Chicago_00080_496345089_f5d47dea91_196_69212252@N00.jpg,f5d47dea91_196_69212252@N00,41.939545,-87.639586,Chicago,United States
China_00073_487137127_79fefd5305_196_8159033@N04.jpg,79fefd5305_196_8159033@N04,34.272254,108.896656,Xian,China
China_00092_1004463976_03bb680078_1105_91728102@N00.jpg,03bb680078_1105_91728102@N00,28.362854,121.068735,Yueqing,China
Colombia_00009_487789777_0003ed5872_212_16836474@N00.jpg,0003ed5872_212_16836474@N00,-4.219137,-69.938964,Leticia,Colombia
Colorado_00057_1199140107_b35790beec_1001_59341685@N00.jpg,b35790beec_1001_59341685@N00,39.450311,-106.470608,Minturn,United States
Connecticut_00004_364162616_48c230f9e2_116_15376845@N00.jpg,48c230f9e2_116_15376845@N00,41.387237,-72.984205,Woodbridge,United States
CostaRica_00017_500118634_993d0110b5_199_78225438@N00.jpg,993d0110b5_199_78225438@N00,9.976965,-84.842176,Puntarenas,Costa Rica
Croatia_00021_473963193_d9ce489f23_222_18744817@N00.jpg,d9ce489f23_222_18744817@N00,44.881174,15.616722,Plitvicka Jezera,Croatia
Croatia_00029_965780821_723a75feee_1096_78247883@N00.jpg,723a75feee_1096_78247883@N00,42.640107,18.110811,Dubrovnik,Croatia
Cuba_00025_699768122_15733c7a1a_1425_8078991@N04.jpg,15733c7a1a_1425_8078991@N04,23.121653,-81.347064,Boca de Camarioca,Cuba
Cyprus_00009_504391595_088287d4f6_189_8255645@N03.jpg,088287d4f6_189_8255645@N03,34.937874,32.86663,Platres,Cyprus
Denmark_00009_258337247_96db5706ff_95_70402049@N00.jpg,96db5706ff_95_70402049@N00,55.684655,12.589323,Copenhagen,Denmark
Dominica_00002_479941913_0bf2cf5743_169_7687052@N07.jpg,0bf2cf5743_169_7687052@N07,15.574013,-61.455373,Portsmouth,Dominica
DominicanRepublic_00008_528391253_78e9959702_1170_37476307@N00.jpg,78e9959702_1170_37476307@N00,18.365027,-69.020611,Punta Cana,Dominican Republic
Ecuador_00016_1042198302_3e83aea565_1079_7132415@N03.jpg,3e83aea565_1079_7132415@N03,-0.967437,-77.763977,Tena,Ecuador
Egypt_00018_389284696_a6c0fa7e22_160_36948083@N00.jpg,a6c0fa7e22_160_36948083@N00,24.032668,32.825775,Aswan,Egypt
Finland_00036_636777751_bedf67eb53_1348_86122102@N00.jpg,bedf67eb53_1348_86122102@N00,60.375722,21.391754,Dalen,Finland
Florida_00015_180339543_001a933e62_70_43935788@N00.jpg,001a933e62_70_43935788@N00,24.938747,-80.650634,Islamorada,United States
France_00057_257413141_469dcde004_96_26519935@N00.jpg,469dcde004_96_26519935@N00,47.882045,7.226428,Mulhouse,France
France_00143_633617121_9d719c65ba_1223_7591003@N03.jpg,9d719c65ba_1223_7591003@N03,48.575755,7.744073,Strasbourg,France
Germany_00063_254492987_7c8d55a3b5_99_32367657@N00.jpg,7c8d55a3b5_99_32367657@N00,47.79858,13.0461,Salzburg,Austria
